Timestamp,X Position,Y Position
2024-03-22T14:26:08.406Z,645,191
2024-03-22T14:26:08.734Z,316,221
2024-03-22T14:26:09.014Z,200,265
2024-03-22T14:26:09.270Z,203,316
2024-03-22T14:26:09.559Z,448,304
2024-03-22T14:26:09.830Z,452,344
2024-03-22T14:26:10.102Z,611,308
2024-03-22T14:26:10.374Z,482,247
2024-03-22T14:26:10.614Z,405,351
2024-03-22T14:26:10.914Z,359,411
2024-03-22T14:26:11.342Z,198,423
2024-03-22T14:26:12.206Z,198,423
2024-03-22T14:26:12.477Z,198,970
2024-03-22T14:26:13.197Z,445,899
2024-03-22T14:26:13.462Z,557,852
2024-03-22T14:26:13.710Z,808,825
2024-03-22T14:26:13.982Z,815,881
2024-03-22T14:26:14.238Z,739,927
2024-03-22T14:26:14.573Z,575,356
2024-03-22T14:26:14.861Z,461,358
2024-03-22T14:26:15.115Z,395,403
2024-03-22T14:26:16.542Z,232,560
2024-03-22T14:26:16.918Z,194,571
2024-03-22T14:26:17.270Z,325,576
2024-03-22T14:26:17.542Z,420,577
2024-03-22T14:26:17.830Z,599,573
2024-03-22T14:26:18.126Z,819,586
2024-03-22T14:26:18.407Z,1016,559
2024-03-22T14:26:18.702Z,1127,581
2024-03-22T14:26:19.726Z,480,872
2024-03-22T14:26:19.998Z,708,722
2024-03-22T14:26:20.205Z,832,893
2024-03-22T14:26:21.254Z,546,1244
2024-03-22T14:26:21.494Z,558,1286
2024-03-22T14:26:21.806Z,675,1305
2024-03-22T14:26:22.654Z,1098,1351
2024-03-22T14:26:23.046Z,696,1376
2024-03-22T14:26:23.318Z,631,1417
2024-03-22T14:26:24.224Z,593,1511
2024-03-22T14:26:24.495Z,627,1568
2024-03-22T14:26:24.758Z,629,1603
2024-03-22T14:26:24.966Z,628,1612
2024-03-22T14:26:25.231Z,629,1623
2024-03-22T14:26:26.661Z,560,2168
2024-03-22T14:26:26.941Z,760,2171
2024-03-22T14:26:27.685Z,618,2594
2024-03-22T14:26:29.630Z,979,3126
2024-03-22T14:26:29.790Z,979,3126
2024-03-22T14:26:29.981Z,979,3126
2024-03-22T14:26:30.501Z,1139,3053
2024-03-22T14:26:33.814Z,674,3619
2024-03-22T14:26:35.047Z,644,3477
2024-03-22T14:26:35.375Z,735,3495
2024-03-22T14:26:35.679Z,815,3486
2024-03-22T14:26:36.478Z,509,3709
2024-03-22T14:26:37.846Z,385,4469
2024-03-22T14:26:38.286Z,717,4375
2024-03-22T14:26:38.502Z,835,4457
2024-03-22T14:26:39.270Z,540,4710
2024-03-22T14:26:39.510Z,738,4719
2024-03-22T14:26:41.518Z,479,5452
2024-03-22T14:26:41.758Z,814,5444
2024-03-22T14:26:42.005Z,977,5468
2024-03-22T14:26:43.478Z,665,5984
2024-03-22T14:26:43.742Z,692,6079
2024-03-22T14:26:44.607Z,702,6190
2024-03-22T14:26:44.943Z,713,6276
2024-03-22T14:26:45.983Z,749,6370
2024-03-22T14:26:46.189Z,759,6463
2024-03-22T14:26:47.205Z,733,6626
2024-03-22T14:26:48.165Z,470,6838
2024-03-22T14:26:48.638Z,326,6937
2024-03-22T14:26:48.925Z,299,7025
2024-03-22T14:26:49.814Z,756,6825
2024-03-22T14:26:50.206Z,832,6855
2024-03-22T14:26:50.501Z,972,6857
2024-03-22T14:26:51.086Z,828,6946
2024-03-22T14:26:51.766Z,866,7131
2024-03-22T14:26:53.197Z,905,7346
2024-03-22T14:26:53.677Z,903,7335
2024-03-22T14:26:54.846Z,617,7516
2024-03-22T14:26:55.197Z,608,7546
2024-03-22T14:26:55.797Z,496,7599
2024-03-22T14:26:57.317Z,894,7611
